+-----+------------+----------+-----------+----------+-------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+-------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro | patched-old | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+-------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+-------------+-----+-------------------------------------+----------+
| 47  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 4524288    | 11525.48      | 40891.09    | 4   | 75260,75400,75258,75398             | 254.79   |
| 47  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 524288     | 1349.22       | 4785.6      | 4   | 75220,75360,75218,75358             | 254.69   |
| 46  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 2524288    | 6528.06       | 23082.29    | 6   | 73980,74120,74260,73978,74118,74258 | 253.59   |
| 46  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 524288     | 1364.04       | 4821.53     | 6   | 73960,74100,74240,73958,74098,74238 | 253.47   |
| 46  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 1024288    | 2656.19       | 9380.92     | 6   | 73965,74105,74245,73963,74103,74243 | 253.17   |
| 47  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 131072     | 346.0         | 1207.59     | 4   | 75210,75350,75208,75348             | 249.01   |
| 46  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 2024288    | 5521.01       | 18658.12    | 6   | 74815,74955,75095,74813,74953,75093 | 237.95   |
| 46  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 1524288    | 4161.15       | 13938.76    | 6   | 74810,74950,75090,74808,74948,75088 | 234.97   |
| 45  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 3524288    | 10877.88      | 34264.97    | 6   | 73150,73290,73430,73148,73288,73428 | 215.0    |
| 45  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 524288     | 1628.52       | 5124.96     | 6   | 73120,73260,73400,73118,73258,73398 | 214.7    |
| 46  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 16384      | 53.01         | 164.08      | 6   | 73935,74075,74215,73933,74073,74213 | 209.53   |
| 47  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 29.93         | 91.09       | 4   | 75190,75330,75188,75328             | 204.34   |
| 45  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 65536      | 214.14        | 644.68      | 6   | 73105,73245,73385,73103,73243,73383 | 201.06   |
